City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
Grindavik,40,IS,1550802600,86,63.84,-22.43,42.8,19.46
Thompson,20,CA,1550800800,75,55.74,-97.86,-13.01,3.71
Severo-Kurilsk,64,RU,1550803489,100,50.68,156.12,26.0,9.08
Longyearbyen,90,NO,1550800200,89,78.22,15.63,32.0,35.57
Pevek,44,RU,1550803492,85,69.7,170.27,-14.23,3.71
Butaritari,80,KI,1550803493,100,3.07,172.79,83.33,15.57
Umm Kaddadah,24,SD,1550803494,32,13.6,26.69,54.35,9.42
Mataura,64,NZ,1550803343,53,-46.19,168.86,62.63,22.5
Punta Arenas,75,CL,1550800800,86,-53.16,-70.91,37.4,11.41
Vardo,1,US,1550802300,45,39.62,-77.74,50.0,11.41
Eyl,92,SO,1550803500,95,7.98,49.82,75.55,16.69
Hermanus,0,ZA,1550803501,93,-34.42,19.24,59.12,4.61
Saint-Philippe,75,CA,1550800800,69,45.36,-73.48,33.8,11.41
Ushuaia,20,AR,1550800800,100,-54.81,-68.31,39.2,2.59
Bluff,0,AU,1550803511,30,-23.58,149.07,96.47,10.2
Nerchinskiy Zavod,0,RU,1550803512,50,51.31,119.61,31.22,3.49
Bambous Virieux,0,MU,1550803380,92,-20.34,57.76,77.75,3.94
Usvyaty,36,RU,1550803515,74,55.75,30.75,11.92,18.59
Mehamn,88,NO,1550803516,91,71.03,27.85,32.21,15.68
East London,56,ZA,1550803519,100,-33.02,27.91,71.05,12.88
Rikitea,68,PF,1550803337,100,-23.12,-134.97,80.27,5.17
Lebu,75,ET,1550800800,62,8.96,38.73,59.0,4.7
Tual,44,ID,1550803522,100,-5.67,132.75,83.24,13.0
Souillac,0,FR,1550800800,70,45.6,-0.6,46.4,1.12
Iqaluit,75,CA,1550800800,67,63.75,-68.52,-25.61,18.34
Kiunga,8,PG,1550803485,68,-6.12,141.3,87.92,3.15
Georgetown,20,GY,1550800800,94,6.8,-58.16,71.6,4.7
Tuktoyaktuk,90,CA,1550801640,84,69.44,-133.03,-0.41,8.05
Atuona,64,PF,1550803530,100,-9.8,-139.03,81.62,14.79
Kapaa,40,US,1550800560,65,22.08,-159.32,78.8,6.93
Niesky,92,DE,1550803533,90,51.29,14.82,40.31,10.2
Qaanaaq,0,GL,1550803534,80,77.48,-69.36,-14.28,9.75
Alexandria,90,US,1550800500,93,31.31,-92.44,50.0,8.05
Ilulissat,76,GL,1550800200,78,69.22,-51.1,15.8,5.82
Lima,0,PE,1550800800,73,-12.06,-77.04,77.0,10.29
Pardubice,90,CZ,1550800800,93,50.04,15.78,44.6,11.41
Ribeira Grande,44,PT,1550803540,100,38.52,-28.7,55.12,24.07
Kahului,75,US,1550801040,65,20.89,-156.47,78.8,10.29
Castro,64,CL,1550800800,87,-42.48,-73.76,42.8,3.36
Hobart,75,AU,1550800800,52,-42.88,147.33,64.4,8.05
Bali Chak,0,IN,1550803545,66,22.37,87.55,78.47,4.61
Upernavik,68,GL,1550803546,100,72.79,-56.15,5.93,17.58
Yellowknife,75,CA,1550800800,84,62.45,-114.38,-0.41,4.7
Alice,90,US,1550801700,88,27.75,-98.07,62.6,6.93
Kodiak,1,US,1550801700,83,39.95,-94.76,32.0,6.93
Tasiilaq,100,GL,1550800200,86,65.61,-37.64,33.8,27.51
Norman Wells,75,CA,1550801700,83,65.28,-126.83,-4.01,4.7
Albany,90,US,1550801820,55,42.65,-73.75,39.2,14.99
Ust-Koksa,0,RU,1550803561,68,50.27,85.62,-2.08,2.04
Yakeshi,0,CN,1550803564,77,49.28,120.73,27.22,4.72
Padang,20,ID,1550800800,79,-0.92,100.36,84.2,2.24
Bandar,8,ID,1550803566,100,-4.2,104.14,82.16,5.28
Saint-Francois,0,FR,1550800800,76,46.42,3.91,32.0,1.12
Llanes,12,ES,1550803570,79,43.42,-4.75,32.3,2.59
Les Cayes,0,HT,1550803571,97,18.19,-73.75,78.74,17.02
Evensk,0,RU,1550803572,100,61.92,159.24,-9.37,4.38
Bethel,90,US,1550800560,86,60.79,-161.76,28.4,6.93
Pittsburg,1,US,1550801700,30,38.02,-121.89,53.6,12.75
Grand-Lahou,48,CI,1550803577,92,5.24,-5.0,77.8,4.16
Berlevag,20,NO,1550798400,67,70.86,29.09,23.0,23.04
Barcelona,0,ES,1550800800,87,41.38,2.18,46.4,9.17
Abalak,0,NE,1550803580,57,15.46,6.28,61.46,4.94
Auki,24,NG,1550803583,56,12.18,6.51,64.57,2.93
Palmer,0,AU,1550800800,53,-34.85,139.16,73.4,12.75
Kieta,0,PG,1550803383,63,-6.22,155.63,90.62,3.6
New Norfolk,75,AU,1550800800,52,-42.78,147.06,64.4,8.05
Bilma,0,NE,1550803588,38,18.69,12.92,53.72,7.96
Mount Gambier,0,AU,1550800800,49,-37.83,140.78,73.4,9.17
Labuhan,88,ID,1550803590,82,-2.54,115.51,80.9,3.15
Hilo,90,US,1550800380,83,19.71,-155.08,75.2,12.75
Cidreira,0,BR,1550803593,88,-30.17,-50.22,72.67,13.0
Busselton,0,AU,1550803594,99,-33.64,115.35,69.2,8.97
Arlit,0,NE,1550803595,51,18.74,7.39,56.33,2.93
Touba,0,SN,1550803596,44,14.86,-15.88,68.08,2.93
Hovd,20,NO,1550802000,69,63.83,10.7,37.4,18.34
Mahebourg,0,MU,1550803403,92,-20.41,57.7,77.75,3.94
Hithadhoo,48,MV,1550803337,100,-0.6,73.08,79.91,6.62
Cape Town,0,ZA,1550800800,73,-33.93,18.42,69.8,8.05
Nikolskoye,0,RU,1550800800,78,59.7,30.79,15.8,11.18
Barrow,100,AR,1550803603,82,-38.31,-60.23,69.11,4.61
